Tournament,Date,Series,Court,Surface,Round,Best of,Player_1,Player_2,Winner,Rank_1,Rank_2,Pts_1,Pts_2,Odd_1,Odd_2,score
BNP Paribas Open,2019-03-09,Masters 1000,Outdoor,Hard,2nd Round,3,Monfils G.,Mayer L.,Monfils G.,19,56,1740,895,1.2,4.33,6-4 3-6 6-3  
BNP Paribas Open,2019-03-09,Masters 1000,Outdoor,Hard,2nd Round,3,Coric B.,Karlovic I.,Karlovic I.,12,89,2695,629,1.33,3.25,4-6 6-7   
BNP Paribas Open,2019-03-09,Masters 1000,Outdoor,Hard,2nd Round,3,Raonic M.,Querrey S.,Raonic M.,14,51,2275,925,1.44,2.62,7-6 6-4   
BNP Paribas Open,2019-03-09,Masters 1000,Outdoor,Hard,2nd Round,3,Cecchinato M.,Ramos-Vinolas A.,Ramos-Vinolas A.,16,91,2091,625,1.9,1.8,4-6 2-6   
BNP Paribas Open,2019-03-09,Masters 1000,Outdoor,Hard,2nd Round,3,Struff J.L.,Berankis R.,Struff J.L.,55,95,910,606,1.53,2.37,3-6 6-3 6-2  
BNP Paribas Open,2019-03-09,Masters 1000,Outdoor,Hard,2nd Round,3,Kyrgios N.,Kohlschreiber P.,Kohlschreiber P.,33,39,1205,1160,1.5,2.5,4-6 4-6   
BNP Paribas Open,2019-03-10,Masters 1000,Outdoor,Hard,2nd Round,3,Gunneswaran P.,Basilashvili N.,Gunneswaran P.,97,18,601,1865,3.5,1.28,6-4 6-7 7-6  
BNP Paribas Open,2019-03-10,Masters 1000,Outdoor,Hard,2nd Round,3,Klizan M.,Zverev A.,Zverev A.,50,3,941,6595,5.5,1.14,3-6 0-2   
BNP Paribas Open,2019-03-10,Masters 1000,Outdoor,Hard,2nd Round,3,Djokovic N.,Fratangelo B.,Djokovic N.,1,128,10955,452,1.02,17.0,7-6 6-2   
BNP Paribas Open,2019-03-10,Masters 1000,Outdoor,Hard,2nd Round,3,Bautista Agut R.,Nishioka Y.,Nishioka Y.,22,74,1545,729,1.25,3.75,6-7 4-6   
BNP Paribas Open,2019-03-10,Masters 1000,Outdoor,Hard,2nd Round,3,Thiem D.,Thompson J.,Thiem D.,8,77,3800,703,1.33,3.25,6-4 7-5   
BNP Paribas Open,2019-03-10,Masters 1000,Outdoor,Hard,2nd Round,3,Jarry N.,Edmund K.,Edmund K.,86,23,640,1520,3.4,1.3,2-6 0-6   
BNP Paribas Open,2019-03-10,Masters 1000,Outdoor,Hard,2nd Round,3,Krajinovic F.,Goffin D.,Krajinovic F.,113,21,515,1650,2.62,1.44,6-3 6-3   
BNP Paribas Open,2019-03-10,Masters 1000,Outdoor,Hard,2nd Round,3,Mannarino A.,Nishikori K.,Nishikori K.,52,7,920,4190,4.5,1.18,4-6 6-4 6-7  
BNP Paribas Open,2019-03-10,Masters 1000,Outdoor,Hard,2nd Round,3,Rublev A.,Haase R.,Rublev A.,102,68,560,780,1.57,2.25,6-3 3-6 6-3  
BNP Paribas Open,2019-03-10,Masters 1000,Outdoor,Hard,2nd Round,3,Mcdonald M.,Medvedev D.,Medvedev D.,62,15,833,2230,3.75,1.25,5-7 0-6   
BNP Paribas Open,2019-03-10,Masters 1000,Outdoor,Hard,2nd Round,3,Schwartzman D.,Carballes Baena R.,Schwartzman D.,26,111,1485,517,1.3,3.4,6-3 6-1   
BNP Paribas Open,2019-03-10,Masters 1000,Outdoor,Hard,2nd Round,3,Gojowczyk P.,Federer R.,Federer R.,85,4,640,4600,11.0,1.05,1-6 5-7   
BNP Paribas Open,2019-03-10,Masters 1000,Outdoor,Hard,2nd Round,3,Cilic M.,Lajovic D.,Cilic M.,11,45,3095,1010,1.18,4.5,6-3 6-4   
BNP Paribas Open,2019-03-10,Masters 1000,Outdoor,Hard,2nd Round,3,Bolt A.,Pella G.,Pella G.,125,34,458,1205,2.75,1.4,6-7 6-2 3-6  
BNP Paribas Open,2019-03-10,Masters 1000,Outdoor,Hard,2nd Round,3,Albot R.,Fognini F.,Albot R.,53,17,920,1885,1.83,1.83,6-0 7-6   
BNP Paribas Open,2019-03-10,Masters 1000,Outdoor,Hard,2nd Round,3,Johnson S.,Shapovalov D.,Shapovalov D.,38,25,1170,1485,2.0,1.72,3-6 4-6   
BNP Paribas Open,2019-03-10,Masters 1000,Outdoor,Hard,2nd Round,3,Isner J.,Popyrin A.,Isner J.,9,131,3405,449,1.2,4.33,6-0 6-2   
BNP Paribas Open,2019-03-11,Masters 1000,Outdoor,Hard,2nd Round,3,Lopez F.,Khachanov K.,Khachanov K.,78,13,700,2675,3.4,1.3,3-6 6-1 4-6  
BNP Paribas Open,2019-03-11,Masters 1000,Outdoor,Hard,2nd Round,3,Wawrinka S.,Fucsovics M.,Wawrinka S.,40,31,1130,1220,1.4,2.75,6-4 6-7 7-5  
BNP Paribas Open,2019-03-11,Masters 1000,Outdoor,Hard,2nd Round,3,Donaldson J.,Nadal R.,Nadal R.,192,2,270,8365,13.0,1.04,1-6 1-6   
BNP Paribas Open,2019-03-11,Masters 1000,Outdoor,Hard,2nd Round,3,Hurkacz H.,Pouille L.,Hurkacz H.,67,30,798,1265,1.9,1.8,6-2 3-6 6-4  
BNP Paribas Open,2019-03-11,Masters 1000,Outdoor,Hard,3rd Round,3,Giron M.,Raonic M.,Raonic M.,217,14,233,2275,5.5,1.14,6-4 4-6 4-6  
BNP Paribas Open,2019-03-11,Masters 1000,Outdoor,Hard,3rd Round,3,Karlovic I.,Gunneswaran P.,Karlovic I.,89,97,629,601,1.66,2.2,6-3 7-6   
BNP Paribas Open,2019-03-11,Masters 1000,Outdoor,Hard,3rd Round,3,Zverev A.,Struff J.L.,Struff J.L.,3,55,6595,910,1.16,5.0,3-6 1-6   
BNP Paribas Open,2019-03-11,Masters 1000,Outdoor,Hard,3rd Round,3,Kecmanovic M.,Djere L.,Kecmanovic M.,130,32,450,1211,1.8,2.0,6-2 7-6   
BNP Paribas Open,2019-03-11,Masters 1000,Outdoor,Hard,3rd Round,3,Ramos-Vinolas A.,Monfils G.,Monfils G.,91,19,625,1740,6.0,1.12,0-6 3-6   
BNP Paribas Open,2019-03-11,Masters 1000,Outdoor,Hard,3rd Round,3,Thiem D.,Simon G.,Thiem D.,8,29,3800,1305,1.4,3.0,6-3 6-1   
BNP Paribas Open,2019-03-11,Masters 1000,Outdoor,Hard,3rd Round,3,Auger-Aliassime F.,Nishioka Y.,Nishioka Y.,58,74,872,729,1.61,2.3,7-6 4-6 6-7  
BNP Paribas Open,2019-03-12,Masters 1000,Outdoor,Hard,3rd Round,3,Krajinovic F.,Medvedev D.,Krajinovic F.,113,15,515,2230,3.5,1.3,6-3 6-2   
BNP Paribas Open,2019-03-12,Masters 1000,Outdoor,Hard,3rd Round,3,Nishikori K.,Hurkacz H.,Hurkacz H.,7,67,4190,798,1.36,3.2,6-4 4-6 3-6  
BNP Paribas Open,2019-03-12,Masters 1000,Outdoor,Hard,3rd Round,3,Shapovalov D.,Cilic M.,Shapovalov D.,25,11,1485,3095,2.5,1.53,6-4 6-2   
BNP Paribas Open,2019-03-12,Masters 1000,Outdoor,Hard,3rd Round,3,Schwartzman D.,Nadal R.,Nadal R.,26,2,1485,8365,8.0,1.08,3-6 1-6   
BNP Paribas Open,2019-03-12,Masters 1000,Outdoor,Hard,3rd Round,3,Isner J.,Pella G.,Isner J.,9,34,3405,1205,1.22,4.33,6-3 6-4   
BNP Paribas Open,2019-03-12,Masters 1000,Outdoor,Hard,3rd Round,3,Djokovic N.,Kohlschreiber P.,Kohlschreiber P.,1,39,10955,1160,1.07,9.0,4-6 4-6   
BNP Paribas Open,2019-03-12,Masters 1000,Outdoor,Hard,3rd Round,3,Khachanov K.,Rublev A.,Khachanov K.,13,102,2675,560,1.53,2.5,7-5 6-3   
BNP Paribas Open,2019-03-12,Masters 1000,Outdoor,Hard,3rd Round,3,Albot R.,Edmund K.,Edmund K.,53,23,920,1520,3.5,1.3,3-6 3-6   
BNP Paribas Open,2019-03-13,Masters 1000,Outdoor,Hard,3rd Round,3,Federer R.,Wawrinka S.,Federer R.,4,40,4600,1130,1.28,3.75,6-3 6-4   
BNP Paribas Open,2019-03-13,Masters 1000,Outdoor,Hard,4th Round,3,Krajinovic F.,Nadal R.,Nadal R.,113,2,515,8365,9.0,1.07,3-6 4-6   
BNP Paribas Open,2019-03-13,Masters 1000,Outdoor,Hard,4th Round,3,Kecmanovic M.,Nishioka Y.,Kecmanovic M.,130,74,450,729,2.37,1.57,6-4    
BNP Paribas Open,2019-03-13,Masters 1000,Outdoor,Hard,4th Round,3,Shapovalov D.,Hurkacz H.,Hurkacz H.,25,67,1485,798,1.4,3.0,6-7 6-2 3-6  
BNP Paribas Open,2019-03-13,Masters 1000,Outdoor,Hard,4th Round,3,Raonic M.,Struff J.L.,Raonic M.,14,55,2275,910,1.36,3.2,6-4 6-3   
BNP Paribas Open,2019-03-13,Masters 1000,Outdoor,Hard,4th Round,3,Edmund K.,Federer R.,Federer R.,23,4,1520,4600,4.5,1.2,1-6 4-6   
BNP Paribas Open,2019-03-13,Masters 1000,Outdoor,Hard,4th Round,3,Khachanov K.,Isner J.,Khachanov K.,13,9,2675,3405,2.3,1.61,6-4 7-6   
BNP Paribas Open,2019-03-14,Masters 1000,Outdoor,Hard,4th Round,3,Karlovic I.,Thiem D.,Thiem D.,89,8,629,3800,3.5,1.3,4-6 3-6   
BNP Paribas Open,2019-03-14,Masters 1000,Outdoor,Hard,4th Round,3,Monfils G.,Kohlschreiber P.,Monfils G.,19,39,1740,1160,1.44,2.75,6-0 6-2   
BNP Paribas Open,2019-03-14,Masters 1000,Outdoor,Hard,Quarterfinals,3,Kecmanovic M.,Raonic M.,Raonic M.,130,14,450,2275,5.0,1.16,3-6 4-6   
BNP Paribas Open,2019-03-15,Masters 1000,Outdoor,Hard,Quarterfinals,3,Thiem D.,Monfils G.,Thiem D.,8,19,3800,1740,2.3,1.61,    
BNP Paribas Open,2019-03-15,Masters 1000,Outdoor,Hard,Quarterfinals,3,Hurkacz H.,Federer R.,Federer R.,67,4,798,4600,8.0,1.08,4-6 4-6   
BNP Paribas Open,2019-03-15,Masters 1000,Outdoor,Hard,Quarterfinals,3,Nadal R.,Khachanov K.,Nadal R.,2,13,8365,2675,1.16,5.0,7-6 7-6   
BNP Paribas Open,2019-03-16,Masters 1000,Outdoor,Hard,Semifinals,3,Raonic M.,Thiem D.,Thiem D.,14,8,2275,3800,1.57,2.37,6-7 7-6 4-6  
BNP Paribas Open,2019-03-16,Masters 1000,Outdoor,Hard,Semifinals,3,Federer R.,Nadal R.,Federer R.,4,2,4600,8365,1.44,2.75,    
BNP Paribas Open,2019-03-17,Masters 1000,Outdoor,Hard,The Final,3,Federer R.,Thiem D.,Thiem D.,4,8,4600,3800,1.25,4.0,6-3 3-6 5-7  
Sony Ericsson Open,2019-03-20,Masters 1000,Outdoor,Hard,1st Round,3,Delbonis F.,Gojowczyk P.,Delbonis F.,83,87,676,655,2.0,1.72,6-4 6-2   
Sony Ericsson Open,2019-03-20,Masters 1000,Outdoor,Hard,1st Round,3,Kudla D.,Carballes Baena R.,Carballes Baena R.,71,113,733,522,1.53,2.37,1-6 2-6   
Sony Ericsson Open,2019-03-20,Masters 1000,Outdoor,Hard,1st Round,3,Andreozzi G.,Kukushkin M.,Andreozzi G.,80,43,686,1025,4.33,1.2,7-6 6-4   
Sony Ericsson Open,2019-03-20,Masters 1000,Outdoor,Hard,1st Round,3,Klahn B.,Tipsarevic J.,Tipsarevic J.,93,453,637,17,1.57,2.25,3-6 3-6   
Sony Ericsson Open,2019-03-20,Masters 1000,Outdoor,Hard,1st Round,3,Zverev M.,Kuhn N.,Zverev M.,75,255,711,184,2.1,1.66,4-6 7-5 2-2  
Sony Ericsson Open,2019-03-20,Masters 1000,Outdoor,Hard,1st Round,3,Berrettini M.,Hurkacz H.,Hurkacz H.,52,54,937,904,1.83,1.83,4-6 3-6   
Sony Ericsson Open,2019-03-21,Masters 1000,Outdoor,Hard,1st Round,3,Haase R.,Lacko L.,Haase R.,65,130,805,436,1.44,2.62,6-2 6-4   
Sony Ericsson Open,2019-03-21,Masters 1000,Outdoor,Hard,1st Round,3,Ymer M.,Mayer L.,Mayer L.,198,62,257,830,2.5,1.5,6-4 3-6 4-6  
Sony Ericsson Open,2019-03-21,Masters 1000,Outdoor,Hard,1st Round,3,Thompson J.,Norrie C.,Thompson J.,77,51,708,941,2.62,1.44,4-6 7-6 6-3  
Sony Ericsson Open,2019-03-21,Masters 1000,Outdoor,Hard,1st Round,3,Sandgren T.,Bublik A.,Bublik A.,91,131,648,434,2.1,1.66,7-5 4-6 6-7  
Sony Ericsson Open,2019-03-21,Masters 1000,Outdoor,Hard,1st Round,3,Lajovic D.,Cuevas P.,Lajovic D.,44,85,1010,661,2.75,1.4,6-4 6-7 6-3  
Sony Ericsson Open,2019-03-21,Masters 1000,Outdoor,Hard,1st Round,3,Klizan M.,Sonego L.,Sonego L.,48,106,966,546,2.62,1.44,4-6 3-6   
Sony Ericsson Open,2019-03-21,Masters 1000,Outdoor,Hard,1st Round,3,Chardy J.,Jarry N.,Chardy J.,40,79,1100,690,1.53,2.37,6-7 6-2 7-6  
Sony Ericsson Open,2019-03-21,Masters 1000,Outdoor,Hard,1st Round,3,Eubanks C.,Dzumhur D.,Dzumhur D.,150,53,371,915,2.0,1.72,6-1 4-6 6-7  
Sony Ericsson Open,2019-03-21,Masters 1000,Outdoor,Hard,1st Round,3,Ivashka I.,Fabbiano T.,Ivashka I.,110,90,525,648,2.0,1.72,6-4 1-6 6-3  
Sony Ericsson Open,2019-03-21,Masters 1000,Outdoor,Hard,1st Round,3,Copil M.,Ramos-Vinolas A.,Ramos-Vinolas A.,73,86,713,660,2.2,1.61,4-6 2-6   
Sony Ericsson Open,2019-03-21,Masters 1000,Outdoor,Hard,1st Round,3,Auger-Aliassime F.,Ruud C.,Auger-Aliassime F.,57,98,876,619,1.44,2.62,3-6 6-1 6-2  
Sony Ericsson Open,2019-03-21,Masters 1000,Outdoor,Hard,1st Round,3,Fritz T.,Marterer M.,Marterer M.,56,101,890,594,1.5,2.5,4-6 6-3 3-6  
Sony Ericsson Open,2019-03-21,Masters 1000,Outdoor,Hard,1st Round,3,Albot R.,Ebden M.,Albot R.,46,50,971,956,1.33,3.25,6-0 3-2   
Sony Ericsson Open,2019-03-21,Masters 1000,Outdoor,Hard,1st Round,3,Monteiro T.,Tomic B.,Tomic B.,117,81,497,679,2.1,1.66,4-6 1-6   
Sony Ericsson Open,2019-03-21,Masters 1000,Outdoor,Hard,1st Round,3,Rublev A.,Daniel T.,Rublev A.,99,72,603,714,1.25,3.75,3-6 6-3 6-4  
Sony Ericsson Open,2019-03-21,Masters 1000,Outdoor,Hard,1st Round,3,Paire B.,Lopez F.,Lopez F.,67,94,770,635,1.8,1.9,5-7 6-4 4-6  
Sony Ericsson Open,2019-03-21,Masters 1000,Outdoor,Hard,1st Round,3,Munar J.,Gunneswaran P.,Munar J.,61,84,845,662,1.8,1.9,7-6 6-4   
Sony Ericsson Open,2019-03-21,Masters 1000,Outdoor,Hard,1st Round,3,Tseng C.H.,Sousa J.,Sousa J.,426,41,24,1072,3.75,1.25,4-6 5-7   
Sony Ericsson Open,2019-03-21,Masters 1000,Outdoor,Hard,1st Round,3,Krajinovic F.,Herbert P.H.,Krajinovic F.,103,49,576,959,1.4,2.75,6-4 6-4   
Sony Ericsson Open,2019-03-21,Masters 1000,Outdoor,Hard,1st Round,3,Jaziri M.,Evans D.,Evans D.,59,97,852,622,2.75,1.4,2-6 0-6   
Sony Ericsson Open,2019-03-21,Masters 1000,Outdoor,Hard,1st Round,3,Opelka R.,Struff J.L.,Opelka R.,58,45,858,990,2.0,1.72,4-6 6-3 6-4  
Sony Ericsson Open,2019-03-22,Masters 1000,Outdoor,Hard,1st Round,3,Karlovic I.,Andujar P.,Andujar P.,76,88,709,652,1.25,3.75,6-7 4-6   
Sony Ericsson Open,2019-03-22,Masters 1000,Outdoor,Hard,1st Round,3,Mannarino A.,Bedene A.,Mannarino A.,55,69,900,765,1.4,2.75,4-6 6-4 6-2  
Sony Ericsson Open,2019-03-22,Masters 1000,Outdoor,Hard,1st Round,3,Gulbis E.,Kecmanovic M.,Kecmanovic M.,78,95,704,630,2.5,1.5,2-6 5-7   
Sony Ericsson Open,2019-03-22,Masters 1000,Outdoor,Hard,1st Round,3,Mcdonald M.,Humbert U.,Mcdonald M.,60,63,848,819,1.72,2.0,6-4 6-7 7-6  
Sony Ericsson Open,2019-03-22,Masters 1000,Outdoor,Hard,1st Round,3,Querrey S.,Ferrer D.,Ferrer D.,68,155,770,355,1.66,2.1,3-6 2-6   
Sony Ericsson Open,2019-03-22,Masters 1000,Outdoor,Hard,2nd Round,3,Edmund K.,Ivashka I.,Edmund K.,22,110,1600,525,1.18,4.5,6-3 6-2   
Sony Ericsson Open,2019-03-22,Masters 1000,Outdoor,Hard,2nd Round,3,Simon G.,Chardy J.,Chardy J.,27,40,1340,1100,1.61,2.2,4-6 2-6   
Sony Ericsson Open,2019-03-22,Masters 1000,Outdoor,Hard,2nd Round,3,Lajovic D.,Nishikori K.,Lajovic D.,44,6,1010,4235,4.5,1.18,2-6 6-2 6-3  
Sony Ericsson Open,2019-03-22,Masters 1000,Outdoor,Hard,2nd Round,3,Carballes Baena R.,Coric B.,Coric B.,113,13,522,2345,4.33,1.2,6-7 6-0 2-6  
Sony Ericsson Open,2019-03-22,Masters 1000,Outdoor,Hard,2nd Round,3,Basilashvili N.,Zverev M.,Basilashvili N.,19,75,1865,711,1.25,3.75,6-3 6-2   
Sony Ericsson Open,2019-03-22,Masters 1000,Outdoor,Hard,2nd Round,3,Marterer M.,Raonic M.,Raonic M.,101,14,594,2275,5.0,1.16,    
Sony Ericsson Open,2019-03-22,Masters 1000,Outdoor,Hard,2nd Round,3,Delbonis F.,Millman J.,Delbonis F.,83,39,676,1126,2.25,1.57,7-5 3-6 7-6  
Sony Ericsson Open,2019-03-22,Masters 1000,Outdoor,Hard,2nd Round,3,Sonego L.,Isner J.,Isner J.,106,9,546,3485,3.75,1.25,6-7 6-7   
Sony Ericsson Open,2019-03-22,Masters 1000,Outdoor,Hard,2nd Round,3,Auger-Aliassime F.,Fucsovics M.,Auger-Aliassime F.,57,36,876,1180,1.9,1.8,6-4 4-6 6-0  
Sony Ericsson Open,2019-03-22,Masters 1000,Outdoor,Hard,2nd Round,3,Bublik A.,Kyrgios N.,Kyrgios N.,131,33,434,1215,3.5,1.28,5-7 3-6   
Sony Ericsson Open,2019-03-22,Masters 1000,Outdoor,Hard,2nd Round,3,Ramos-Vinolas A.,Pouille L.,Ramos-Vinolas A.,86,30,660,1265,2.37,1.53,4-6 6-4 6-3  
Sony Ericsson Open,2019-03-22,Masters 1000,Outdoor,Hard,2nd Round,3,Harris L.,Haase R.,Haase R.,96,65,625,805,2.37,1.53,6-3 3-6 4-6  
Sony Ericsson Open,2019-03-22,Masters 1000,Outdoor,Hard,2nd Round,3,Bautista Agut R.,Tipsarevic J.,Bautista Agut R.,25,453,1510,17,1.18,4.5,7-6 6-4   
Sony Ericsson Open,2019-03-22,Masters 1000,Outdoor,Hard,2nd Round,3,Thiem D.,Hurkacz H.,Hurkacz H.,4,54,4755,904,1.36,3.0,4-6 4-6   
Sony Ericsson Open,2019-03-22,Masters 1000,Outdoor,Hard,2nd Round,3,Fognini F.,Andreozzi G.,Fognini F.,17,80,1885,686,1.44,2.62,5-7 6-4 6-4  
Sony Ericsson Open,2019-03-23,Masters 1000,Outdoor,Hard,2nd Round,3,Tomic B.,Djokovic N.,Djokovic N.,81,1,679,10990,13.0,1.04,6-7 2-6   
Sony Ericsson Open,2019-03-23,Masters 1000,Outdoor,Hard,2nd Round,3,Mayer L.,Pella G.,Mayer L.,62,32,830,1240,2.0,1.72,6-2 6-4   
Sony Ericsson Open,2019-03-23,Masters 1000,Outdoor,Hard,2nd Round,3,Evans D.,Shapovalov D.,Shapovalov D.,97,23,622,1550,2.5,1.5,6-4 1-6 3-6  
Sony Ericsson Open,2019-03-23,Masters 1000,Outdoor,Hard,2nd Round,3,Sousa J.,Johnson S.,Sousa J.,41,38,1072,1160,2.37,1.53,7-6 6-4   
Sony Ericsson Open,2019-03-23,Masters 1000,Outdoor,Hard,2nd Round,3,Wawrinka S.,Krajinovic F.,Krajinovic F.,37,103,1175,576,1.57,2.25,7-5 2-6 6-7  
Sony Ericsson Open,2019-03-23,Masters 1000,Outdoor,Hard,2nd Round,3,Thompson J.,Khachanov K.,Thompson J.,77,12,708,2845,4.33,1.2,6-2 6-3   
Sony Ericsson Open,2019-03-23,Masters 1000,Outdoor,Hard,2nd Round,3,Dzumhur D.,Cecchinato M.,Cecchinato M.,53,16,915,2021,2.1,1.66,    
Sony Ericsson Open,2019-03-23,Masters 1000,Outdoor,Hard,2nd Round,3,Goffin D.,Andujar P.,Goffin D.,20,88,1685,652,1.12,6.0,6-4 6-1   
Sony Ericsson Open,2019-03-23,Masters 1000,Outdoor,Hard,2nd Round,3,Mannarino A.,Medvedev D.,Medvedev D.,55,15,900,2230,3.4,1.3,2-6 1-6   
Sony Ericsson Open,2019-03-23,Masters 1000,Outdoor,Hard,2nd Round,3,Anderson K.,Munar J.,Anderson K.,7,61,4115,845,1.5,2.5,6-4 3-6 6-3  
Sony Ericsson Open,2019-03-23,Masters 1000,Outdoor,Hard,2nd Round,3,Lopez F.,Dimitrov G.,Dimitrov G.,94,29,635,1300,2.5,1.5,1-6 3-6   
Sony Ericsson Open,2019-03-23,Masters 1000,Outdoor,Hard,2nd Round,3,Rublev A.,Cilic M.,Rublev A.,99,11,603,3095,2.5,1.5,6-4 6-4   
Sony Ericsson Open,2019-03-23,Masters 1000,Outdoor,Hard,2nd Round,3,Schwartzman D.,Opelka R.,Opelka R.,24,58,1520,858,1.66,2.1,4-6 6-3 4-6  
Sony Ericsson Open,2019-03-23,Masters 1000,Outdoor,Hard,2nd Round,3,Federer R.,Albot R.,Federer R.,5,46,4600,971,1.1,7.0,4-6 7-5 6-3  
Sony Ericsson Open,2019-03-23,Masters 1000,Outdoor,Hard,2nd Round,3,Mcdonald M.,Tsitsipas S.,Tsitsipas S.,60,10,848,3160,3.75,1.25,6-7 1-6   
Sony Ericsson Open,2019-03-23,Masters 1000,Outdoor,Hard,2nd Round,3,Tiafoe F.,Kecmanovic M.,Tiafoe F.,34,95,1200,630,1.8,1.9,7-6 7-6   
Sony Ericsson Open,2019-03-24,Masters 1000,Outdoor,Hard,2nd Round,3,Zverev A.,Ferrer D.,Ferrer D.,3,155,6630,355,1.22,4.0,6-2 5-7 3-6  
Sony Ericsson Open,2019-03-24,Masters 1000,Outdoor,Hard,3rd Round,3,Isner J.,Ramos-Vinolas A.,Isner J.,9,86,3485,660,1.2,4.5,7-5 7-6   
Sony Ericsson Open,2019-03-24,Masters 1000,Outdoor,Hard,3rd Round,3,Fognini F.,Bautista Agut R.,Bautista Agut R.,17,25,1885,1510,2.75,1.44,4-6 4-6   
Sony Ericsson Open,2019-03-24,Masters 1000,Outdoor,Hard,3rd Round,3,Edmund K.,Raonic M.,Edmund K.,22,14,1600,2275,2.37,1.57,6-4 6-4   
Sony Ericsson Open,2019-03-24,Masters 1000,Outdoor,Hard,3rd Round,3,Haase R.,Basilashvili N.,Basilashvili N.,65,19,805,1865,2.75,1.44,6-7 3-6   
Sony Ericsson Open,2019-03-24,Masters 1000,Outdoor,Hard,3rd Round,3,Auger-Aliassime F.,Hurkacz H.,Auger-Aliassime F.,57,54,876,904,2.1,1.72,7-6 6-4   
Sony Ericsson Open,2019-03-24,Masters 1000,Outdoor,Hard,3rd Round,3,Delbonis F.,Djokovic N.,Djokovic N.,83,1,676,10990,13.0,1.04,5-7 6-4 1-6  
Sony Ericsson Open,2019-03-25,Masters 1000,Outdoor,Hard,3rd Round,3,Coric B.,Chardy J.,Coric B.,13,40,2345,1100,1.5,2.62,6-7 6-2 6-3  
Sony Ericsson Open,2019-03-25,Masters 1000,Outdoor,Hard,3rd Round,3,Lajovic D.,Kyrgios N.,Kyrgios N.,44,33,1010,1215,3.5,1.3,3-6 1-6   
Sony Ericsson Open,2019-03-25,Masters 1000,Outdoor,Hard,3rd Round,3,Thompson J.,Dimitrov G.,Thompson J.,77,29,708,1300,3.0,1.4,7-5 7-5   
Sony Ericsson Open,2019-03-25,Masters 1000,Outdoor,Hard,3rd Round,3,Sousa J.,Anderson K.,Anderson K.,41,7,1072,4115,2.5,1.53,4-6 6-7   
Sony Ericsson Open,2019-03-25,Masters 1000,Outdoor,Hard,3rd Round,3,Federer R.,Krajinovic F.,Federer R.,5,103,4600,576,1.16,5.0,7-5 6-3   
Sony Ericsson Open,2019-03-25,Masters 1000,Outdoor,Hard,3rd Round,3,Opelka R.,Medvedev D.,Medvedev D.,58,15,858,2230,3.75,1.28,6-7 7-6 6-7  
Sony Ericsson Open,2019-03-25,Masters 1000,Outdoor,Hard,3rd Round,3,Shapovalov D.,Rublev A.,Shapovalov D.,23,99,1550,603,1.66,2.2,6-3 7-6   
Sony Ericsson Open,2019-03-25,Masters 1000,Outdoor,Hard,3rd Round,3,Cecchinato M.,Goffin D.,Goffin D.,16,20,2021,1685,4.0,1.25,4-6 4-6   
Sony Ericsson Open,2019-03-25,Masters 1000,Outdoor,Hard,3rd Round,3,Tiafoe F.,Ferrer D.,Tiafoe F.,34,155,1200,355,2.0,1.8,5-7 6-3 6-3  
Sony Ericsson Open,2019-03-26,Masters 1000,Outdoor,Hard,3rd Round,3,Mayer L.,Tsitsipas S.,Tsitsipas S.,62,10,830,3160,4.0,1.25,4-6 4-6   
Sony Ericsson Open,2019-03-26,Masters 1000,Outdoor,Hard,4th Round,3,Auger-Aliassime F.,Basilashvili N.,Auger-Aliassime F.,57,19,876,1865,1.8,2.0,7-6 6-4   
Sony Ericsson Open,2019-03-26,Masters 1000,Outdoor,Hard,4th Round,3,Edmund K.,Isner J.,Isner J.,22,9,1600,3485,1.9,1.9,6-7 6-7   
Sony Ericsson Open,2019-03-26,Masters 1000,Outdoor,Hard,4th Round,3,Coric B.,Kyrgios N.,Coric B.,13,33,2345,1215,2.37,1.57,4-6 6-3 6-2  
Sony Ericsson Open,2019-03-26,Masters 1000,Outdoor,Hard,4th Round,3,Djokovic N.,Bautista Agut R.,Bautista Agut R.,1,25,10990,1510,1.2,4.5,6-1 5-7 3-6  
Sony Ericsson Open,2019-03-26,Masters 1000,Outdoor,Hard,4th Round,3,Anderson K.,Thompson J.,Anderson K.,7,77,4115,708,1.4,3.0,7-5 7-5   
Sony Ericsson Open,2019-03-27,Masters 1000,Outdoor,Hard,4th Round,3,Goffin D.,Tiafoe F.,Tiafoe F.,20,34,1685,1200,1.53,2.5,5-7 6-7   
Sony Ericsson Open,2019-03-27,Masters 1000,Outdoor,Hard,4th Round,3,Shapovalov D.,Tsitsipas S.,Shapovalov D.,23,10,1550,3160,2.2,1.66,4-6 6-3 7-6  
Sony Ericsson Open,2019-03-27,Masters 1000,Outdoor,Hard,4th Round,3,Medvedev D.,Federer R.,Federer R.,15,5,2230,4600,3.5,1.3,4-6 2-6   
Sony Ericsson Open,2019-03-27,Masters 1000,Outdoor,Hard,Quarterfinals,3,Isner J.,Bautista Agut R.,Isner J.,9,25,3485,1510,1.8,2.0,7-6 7-6   
Sony Ericsson Open,2019-03-28,Masters 1000,Outdoor,Hard,Quarterfinals,3,Coric B.,Auger-Aliassime F.,Auger-Aliassime F.,13,57,2345,876,1.66,2.2,6-7 2-6   
Sony Ericsson Open,2019-03-28,Masters 1000,Outdoor,Hard,Quarterfinals,3,Shapovalov D.,Tiafoe F.,Shapovalov D.,23,34,1550,1200,1.53,2.5,6-7 6-4 6-2  
